snapshot_time,product_id,sellPrice,buyPrice,sellVolume,buyVolume,sellMovingWeek,buyMovingWeek,sellOrders,buyOrders
2025-04-28 18:24:02,ENCHANTMENT_BIG_BRAIN_4,4000001.2399999998,500000000.0,303,1,0,0,86,1
2025-04-28 18:24:02,ENCHANTMENT_BIG_BRAIN_5,83750013.075,360000000.0,794,9,0,6,66,6
2025-04-28 18:24:02,ENCHANTMENT_BIG_BRAIN_3,60905008.8,74832942.7,197,28,6,33,86,11
2025-04-28 18:24:02,MUTATED_BLAZE_ASHES,105.8,606.7764569536423,80763,236115,197014,56351,3,322
2025-04-28 18:24:02,ENCHANTED_CARROT_ON_A_STICK,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTMENT_THUNDERLORD_7,7350773.173076923,11286954.55,1125,77,327,662,273,48
2025-04-28 18:24:02,ENCHANTMENT_THUNDERLORD_6,6.1,29995.83958333333,4032,1780,3915,4718,35,119
2025-04-28 18:24:02,ENCHANTMENT_TURBO_MELON_5,587000.206060606,806556.6545454544,765,388,153,1015,65,81
2025-04-28 18:24:02,FLY_SWATTER,483037.57355371903,509556.76666666666,18155,113,2356,702,381,72
2025-04-28 18:24:02,DERELICT_ASHE,2237.0602677876855,2443.1,48702531,76254,24726094,1880659,1370,20
2025-04-28 18:24:02,ENCHANTMENT_THUNDERLORD_3,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTMENT_THUNDERLORD_2,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTMENT_SHARPNESS_7,88794090.63333334,95000000.0,415,6,79,278,367,5
2025-04-28 18:24:02,ENCHANTMENT_THUNDERLORD_5,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTMENT_SHARPNESS_6,623299.6876623376,779826.1772727272,4229,1003,3266,6567,412,337
2025-04-28 18:24:02,ENCHANTMENT_THUNDERLORD_4,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTED_ACACIA_LOG,1441.3573699268836,1626.4715722355356,3176151,1099638,3106108,1957353,172,933
2025-04-28 18:24:02,ENCHANTMENT_MANA_STEAL_1,344.61361926260344,11574.9,63549,2923,35617,7046,367,420
2025-04-28 18:24:02,ENCHANTMENT_MANA_STEAL_2,1002.8,51461.4,1207,5,145,85,11,5
2025-04-28 18:24:02,ENCHANTMENT_THUNDERLORD_1,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTMENT_MANA_STEAL_3,11667.59,103564.47450980393,2598,2044,586,2358,53,197
2025-04-28 18:24:02,SAND,1.852922623862717,16.0,3349237,286672,14073082,7852245,58,28
2025-04-28 18:24:02,PLASMA_BUCKET,12955430.825827815,13566097.631111111,6662,1862,3587,4739,827,254
2025-04-28 18:24:02,ANCIENT_CLAW,163.41884433235032,185.13245210595483,10548303,2817062,99899121,10245834,273,582
2025-04-28 18:24:02,ENCHANTMENT_TURBO_MELON_3,20502.009090909094,370049.3,588,31,88,214,23,16
2025-04-28 18:24:02,ENCHANTMENT_STRONG_MANA_7,5055908.0,11762969.699999997,19,10,11,347,8,4
2025-04-28 18:24:02,ENCHANTMENT_TURBO_MELON_4,250000.60071942452,699999.4,263,434,53,204,26,85
2025-04-28 18:24:02,ENCHANTED_GHAST_TEAR,305.40065848137726,370.95916808822943,1432635,1758476,9504379,6622834,61,399
2025-04-28 18:24:02,ENCHANTMENT_STRONG_MANA_6,2400000.3,5899999.7,191,14,18,394,16,4
2025-04-28 18:24:02,ENCHANTED_COCOA,502.5282428426435,576.0517779851755,20725685,6010203,48978880,8001113,441,1321
2025-04-28 18:24:02,ENCHANTMENT_TURBO_MELON_1,22798.120855614976,38006.7,17716,461,20797,5450,198,50
