snapshot_time,product_id,pricePerUnit,amount,orders,tier_rank
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,801486.7,3,1,20
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,801486.4,27,1,21
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,801486.1,47,1,22
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,801478.8,28,1,23
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,794219.8,1,1,24
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,775000.0,8,1,25
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,762098.8,6,1,26
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,762098.7,24,1,27
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,751726.7,5,1,28
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,751724.4,64,1,29
2025-04-28 18:24:02,ENCHANTED_MELON,307.0,66738,1,0
2025-04-28 18:24:02,ENCHANTED_MELON,306.9,70090,1,1
2025-04-28 18:24:02,ENCHANTED_MELON,306.8,39534,1,2
2025-04-28 18:24:02,ENCHANTED_MELON,306.7,28748,1,3
2025-04-28 18:24:02,ENCHANTED_MELON,306.6,71625,1,4
2025-04-28 18:24:02,ENCHANTED_MELON,306.5,71680,1,5
2025-04-28 18:24:02,ENCHANTED_MELON,306.4,71467,1,6
2025-04-28 18:24:02,ENCHANTED_MELON,306.3,71428,1,7
2025-04-28 18:24:02,ENCHANTED_MELON,306.2,51520,1,8
2025-04-28 18:24:02,ENCHANTED_MELON,306.1,69791,1,9
2025-04-28 18:24:02,ENCHANTED_MELON,306.0,143360,2,10
2025-04-28 18:24:02,ENCHANTED_MELON,305.9,71353,1,11
2025-04-28 18:24:02,ENCHANTED_MELON,305.8,70795,1,12
2025-04-28 18:24:02,ENCHANTED_MELON,305.7,70486,1,13
2025-04-28 18:24:02,ENCHANTED_MELON,305.6,71676,1,14
2025-04-28 18:24:02,ENCHANTED_MELON,305.5,70752,1,15
2025-04-28 18:24:02,ENCHANTED_MELON,305.4,71657,1,16
2025-04-28 18:24:02,ENCHANTED_MELON,305.3,71551,1,17
2025-04-28 18:24:02,ENCHANTED_MELON,305.2,71374,1,18
2025-04-28 18:24:02,ENCHANTED_MELON,305.1,71584,1,19
2025-04-28 18:24:02,ENCHANTED_MELON,305.0,335136,5,20
2025-04-28 18:24:02,ENCHANTED_MELON,303.4,71680,2,21
2025-04-28 18:24:02,ENCHANTED_MELON,303.3,46125,1,22
2025-04-28 18:24:02,ENCHANTED_MELON,303.2,29888,1,23
2025-04-28 18:24:02,ENCHANTED_MELON,303.1,44680,1,24
2025-04-28 18:24:02,ENCHANTED_MELON,303.0,2105345,42,25
2025-04-28 18:24:02,ENCHANTED_MELON,302.4,48,1,26
2025-04-28 18:24:02,ENCHANTED_MELON,301.0,71680,5,27
2025-04-28 18:24:02,ENCHANTMENT_TURBO_COCO_1,2.3,150,1,0
2025-04-28 18:24:02,ENCHANTMENT_TURBO_COCO_1,2.2,85,1,1
